Smart Cookie,Central Coast,California,US,4/1/2018,4/1/2018,
Tenuta Carretta,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Château du Prieur,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Tertre de Viaud,Côtes de Bourg,Bordeaux,France,4/1/2018,4/1/2018,
Vila da Fonte,,Douro,Portugal,4/1/2018,4/1/2018,
Stellareese,Calistoga,California,US,4/1/2018,4/1/2018,
Terrazas de Los Andes,La Consulta,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Nashwauk,McLaren Vale,South Australia,Australia,4/1/2018,4/1/2018,
Bodega Rolland,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Courtney Benham,Diamond Mountain District,California,US,4/1/2018,4/1/2018,
Bishop's Peak,Edna Valley,California,US,4/1/2018,4/1/2018,
Château Gauthier,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Monbadon,Castillon Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Poggiarellino,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Poggiotondo,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Punset,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Sartori,Veronese,Veneto,Italy,4/1/2018,4/1/2018,
Vinisterra,,Valle de Guadalupe,Mexico,4/1/2018,4/1/2018,
Barren Ridge,Shenandoah Valley,Virginia,US,4/1/2018,4/1/2018,
Bewitched,Russian River Valley,California,US,4/1/2018,4/1/2018,
Bodegas Corellanas,Navarra,Northern Spain,Spain,4/1/2018,4/1/2018,
Camparo,Dolcetto di Diano d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Cantine Lenotti di Lenotti,Soave Classico,Veneto,Italy,4/1/2018,4/1/2018,
Castelluccio,Romagna,Central Italy,Italy,4/1/2018,4/1/2018,
Colesel,Valdobbiadene Superiore di Cartizze,Veneto,Italy,4/1/2018,4/1/2018,
Colutta,Friuli Venezia Giulia,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Poderi Morini,Sangiovese di Romagna Superiore,Central Italy,Italy,4/1/2018,4/1/2018,
Rodney Strong,Chalk Hill,California,US,4/1/2018,4/1/2018,
Storyteller,Los Carneros,California,US,4/1/2018,4/1/2018,
Val d'Oca,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Château La Rose du Pin,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Chocolate Box,Barossa Valley,South Australia,Australia,4/1/2018,4/1/2018,
Monticello Vineyards,Oak Knoll District,California,US,4/1/2018,4/1/2018,
Château de Gironville,Haut-Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Derey Frères,Fixin,Burgundy,France,4/1/2018,4/1/2018,
Pitars,Prosecco,Veneto,Italy,4/1/2018,4/1/2018,
Henri Perrusset,Mâcon-Villages,Burgundy,France,4/1/2018,4/1/2018,
Joseph Drouhin,Montagny,Burgundy,France,4/1/2018,4/1/2018,
Michael James Wines,Napa Valley,California,US,4/1/2018,4/1/2018,
Mommessin,Beaujolais-Villages,Beaujolais,France,4/1/2018,4/1/2018,
Cantine Rallo,Alcamo,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Château la France,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Fattoria Petriolo,Chianti,Tuscany,Italy,4/1/2018,4/1/2018,
Jean-Luc Colombo,Vin de Pays de la Méditerranée,France Other,France,4/1/2018,4/1/2018,
Sorelli,Chianti,Tuscany,Italy,4/1/2018,4/1/2018,
Acentor,Calatayud,Northern Spain,Spain,4/1/2018,4/1/2018,
Cantine Ravazzi,Chianti,Tuscany,Italy,4/1/2018,4/1/2018,
Cave de Rauzan,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Cailleteau Bergeron,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Château Garreau,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château de Piote,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château de Sours,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Château du Claouset,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Château Beaumont les Pierrières,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château de Brézé,Saumur,Loire Valley,France,4/1/2018,4/1/2018,
Château la Colombière,Vin de France,France Other,France,4/1/2018,4/1/2018,
Domaine des Grandes Perrières,Sancerre,Loire Valley,France,4/1/2018,4/1/2018,
Domaine Jean-Pierre Vacher et Fils,Sancerre,Loire Valley,France,4/1/2018,4/1/2018,
Hedges Family Estate,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Hubert Veneau,Pouilly-Fumé,Loire Valley,France,4/1/2018,4/1/2018,
Ivory and Burt,Lodi,California,US,4/1/2018,4/1/2018,
Leuta,Cortona,Tuscany,Italy,4/1/2018,4/1/2018,
Massucco,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Mattina Fiore,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Monchiero Carbone,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Equilibrio,Jumilla,Levante,Spain,4/1/2018,4/1/2018,
Eufloria,Washington,Washington,US,4/1/2018,4/1/2018,
Gianni Gagliardo,Barbera d'Alba Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Andis,Clarksburg,California,US,4/1/2018,4/1/2018,
Ardor,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Arbiola,Barbera d'Asti Superiore Nizza,Piedmont,Italy,4/1/2018,4/1/2018,
Camille Giroud,Gevrey-Chambertin,Burgundy,France,4/1/2018,4/1/2018,
Domaine Bertagna,Vosne-Romanée,Burgundy,France,4/1/2018,4/1/2018,
Horse & Plow,Anderson Valley,California,US,4/1/2018,4/1/2018,
Robledo,Napa Valley,California,US,4/1/2018,4/1/2018,
Rulo,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Alex Gambal,Vosne-Romanée,Burgundy,France,4/1/2018,4/1/2018,
Montaribaldi,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Val du Charron,,Western Cape,South Africa,4/1/2018,4/1/2018,
Tormaresca,Puglia,Southern Italy,Italy,4/1/2018,4/1/2018,
Varvaglione Vigne & Vini,Salento,Southern Italy,Italy,4/1/2018,4/1/2018,
Apollonio,Salento,Southern Italy,Italy,4/1/2018,4/1/2018,
Borjón,Shenandoah Valley (CA),California,US,4/1/2018,4/1/2018,
Gran Passione,Beneventano,Southern Italy,Italy,4/1/2018,4/1/2018,
Masciarelli,Montepulciano d'Abruzzo,Central Italy,Italy,4/1/2018,4/1/2018,
Caven,Valtellina Superiore,Lombardy,Italy,4/1/2018,4/1/2018,
Château de Javernand,Chiroubles,Beaujolais,France,4/1/2018,4/1/2018,
Cà Bianca,Moscato d'Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Barefoot Cellars,California,California,US,4/1/2018,4/1/2018,
Estancia,Central Coast,California,US,4/1/2018,4/1/2018,
Les Vins Skalli,Vin de Pays de l'Ile de Beauté,France Other,France,4/1/2018,4/1/2018,
Echeverria,,Molina,Chile,4/1/2018,4/1/2018,
Golden Kaan,,Western Cape,South Africa,4/1/2018,4/1/2018,
Y Rousseau,Mendocino County,California,US,4/1/2018,4/1/2018,
Fratelli Bortolin,Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Entrepreneur,Diamond Mountain District,California,US,4/1/2018,4/1/2018,
Noble Estate,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Louis Jadot,Beaujolais-Villages,Beaujolais,France,4/1/2018,4/1/2018,
Marchiori,Colli Trevigiani,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Marsuret,Valdobbiadene Superiore di Cartizze,Veneto,Italy,4/1/2018,4/1/2018,
Montesel,Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Morgadío,Rías Baixas,Galicia,Spain,4/1/2018,4/1/2018,
Silver Stag,Napa Valley,California,US,4/1/2018,4/1/2018,
Massolino,Dolcetto d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Prà,Valpolicella Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Robinson Family Vineyards,Stags Leap District,California,US,4/1/2018,4/1/2018,
Château de la Brède,Graves,Bordeaux,France,4/1/2018,4/1/2018,
Château Haut-Francarney,Fronsac,Bordeaux,France,4/1/2018,4/1/2018,
Château les Roches de Ferrand,Fronsac,Bordeaux,France,4/1/2018,4/1/2018,
Domaine des Baumard,Vin de Table Francais,France Other,France,4/1/2018,4/1/2018,
Kandarian,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Leo Steen Wines,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Lorenz Martini,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Argiolas,Nuragus di Cagliari,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Budureasca,,Romania,Romania,4/1/2018,4/1/2018,
Buehler,Carneros,California,US,4/1/2018,4/1/2018,
Capichera,Vermentino di Sardegna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Compilation,Sta. Rita Hills,California,US,4/1/2018,4/1/2018,
Criss Cross,Lodi,California,US,4/1/2018,4/1/2018,
Domaine Pinson,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Falkner,Temecula,California,US,4/1/2018,4/1/2018,
Ferruccio Deiana,Vermentino di Sardegna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Giuseppe Gabbas,Vermentino di Sardegna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Giuseppe Sedilesu,Cannonau di Sardegna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Maal,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Hecht & Bannier,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Stark,Sonoma County,California,US,4/1/2018,4/1/2018,
Summers,Knights Valley,California,US,4/1/2018,4/1/2018,
Westbend Vineyards,Yadkin Valley,North Carolina,US,4/1/2018,4/1/2018,
Ferguson Crest,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Ideology,Oak Knoll District,California,US,4/1/2018,4/1/2018,
Saint-Hilaire,Blanquette de Limoux,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Scambia,Orvieto,Central Italy,Italy,4/1/2018,4/1/2018,
Boschendal,,Western Cape,South Africa,4/1/2018,4/1/2018,
Château Jacques Noir,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Père Anselme,Côtes du Rhône,Rhône Valley,France,4/1/2018,4/1/2018,
Quivira,North Coast,California,US,4/1/2018,4/1/2018,
Ronca,Veronese,Veneto,Italy,4/1/2018,4/1/2018,
Aconga,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Albeno Munari,Sierra Foothills,California,US,4/1/2018,4/1/2018,
De Novo,Alexander Valley,California,US,4/1/2018,4/1/2018,
Roux Père et Fils,Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Ticket Cellars,Russian River Valley,California,US,4/1/2018,4/1/2018,
K&K; Vasilikon,,Pafos,Cyprus,4/1/2018,4/1/2018,
Cantine Lanzavecchia,Langhe,Piedmont,Italy,4/1/2018,4/1/2018,
Cascina La Ghersa,Barbera d'Asti Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Burt Street Cellars,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Pyrenees,Umpqua Valley,Oregon,US,4/1/2018,4/1/2018,
Viña Cerrada,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Kamiak,Washington,Washington,US,4/1/2018,4/1/2018,
Kirkland Signature,California,California,US,4/1/2018,4/1/2018,
L'Aventure,Paso Robles,California,US,4/1/2018,4/1/2018,
Marqués de Legarda,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Manuel Olivier,Gevrey-Chambertin,Burgundy,France,4/1/2018,4/1/2018,
Bolla,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Dautel-Cadot,Champagne,Champagne,France,4/1/2018,4/1/2018,
Olivier Leflaive,Saint-Aubin,Burgundy,France,4/1/2018,4/1/2018,
Primus,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Bele Casel,Asolo Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Bodega Elena de Mendoza,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Tenuta Polvaro,Venezia,Veneto,Italy,4/1/2018,4/1/2018,
Foris,Oregon,Oregon,US,4/1/2018,4/1/2018,
Trevisana,Prosecco,Veneto,Italy,4/1/2018,4/1/2018,
Kenwood,California,California,US,4/1/2018,4/1/2018,
Parras Vinhos,,Tejo,Portugal,4/1/2018,4/1/2018,
Casabianca,Prosecco Treviso,Veneto,Italy,4/1/2018,4/1/2018,
Cavit,Delle Venezie,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Wesley Ashley,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Maude,,Central Otago,New Zealand,4/1/2018,4/1/2018,
Bodega del Fin del Mundo,Patagonia,Other,Argentina,4/1/2018,4/1/2018,
Tenuta Santomè,Marca Trevigiana,Veneto,Italy,4/1/2018,4/1/2018,
Jean-Luc Colombo,Côtes du Rhône,Rhône Valley,France,4/1/2018,4/1/2018,
Vatistas,,Monemvasia,Greece,4/1/2018,4/1/2018,
Château de Beaucastel,Côtes du Rhône,Rhône Valley,France,4/1/2018,4/1/2018,
Paul Jaboulet Aîné,Saint-Joseph,Rhône Valley,France,4/1/2018,4/1/2018,
Sonoma Smith,Sonoma County,California,US,4/1/2018,4/1/2018,
Samos,,Samos,Greece,4/1/2018,4/1/2018,
Bodega La Serrana,Bierzo,Northern Spain,Spain,4/1/2018,4/1/2018,
Bourgeois Family,Côtes-du-Ventoux,Rhône Valley,France,4/1/2018,4/1/2018,
Castello del Poggio,Monferrato,Piedmont,Italy,4/1/2018,4/1/2018,
John Forrest Collection,,Waitaki Valley,New Zealand,4/1/2018,4/1/2018,
Heinrich,,Mittelburgenland,Austria,4/1/2018,4/1/2018,
Joseph Drouhin,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Marchesi de' Frescobaldi,Chianti Rufina,Tuscany,Italy,4/1/2018,4/1/2018,
Alpamanta,Luján de Cuyo,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Antigal,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Belharra,Knights Valley,California,US,4/1/2018,4/1/2018,
Cambridge,Napa Valley,California,US,4/1/2018,4/1/2018,
Clos Chapon,Vouvray,Loire Valley,France,4/1/2018,4/1/2018,
Collina San Ponzio,Dolcetto d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Creekside Cellars,Colorado,Colorado,US,4/1/2018,4/1/2018,
Delaforce,,Douro,Portugal,4/1/2018,4/1/2018,
Domingo Hermanos,Salta,Other,Argentina,4/1/2018,4/1/2018,
Early Mountain,Virginia,Virginia,US,4/1/2018,4/1/2018,
Eszterbauer,,Szekszárd,Hungary,4/1/2018,4/1/2018,
Famiglia Meschini,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Finca El Origen,Salta,Other,Argentina,4/1/2018,4/1/2018,
Antinori,Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Dieu Donne,,Franschhoek,South Africa,4/1/2018,4/1/2018,
Castello di Monsanto,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Bridgeview,Rogue Valley,Oregon,US,4/1/2018,4/1/2018,
Torii Mor,Rogue Valley,Oregon,US,4/1/2018,4/1/2018,
Alkoomi,Frankland River,Western Australia,Australia,4/1/2018,4/1/2018,
Le Macchiole,Bolgheri,Tuscany,Italy,4/1/2018,4/1/2018,
Brancott,,Gisborne,New Zealand,4/1/2018,4/1/2018,
Morandé,,Cachapoal Valley,Chile,4/1/2018,4/1/2018,
Westrey,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Conde de Caralt,Cava,Catalonia,Spain,4/1/2018,4/1/2018,
Bodegas Medina,Extremadura,Central Spain,Spain,4/1/2018,4/1/2018,
Pazo de Señorans,Rías Baixas,Galicia,Spain,4/1/2018,4/1/2018,
Telteca,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Bodegas la Casa de Lúcolo,Navarra,Northern Spain,Spain,4/1/2018,4/1/2018,
Abrazo,Cariñena,Northern Spain,Spain,4/1/2018,4/1/2018,
Gerd Anselmann,,Pfalz,Germany,4/1/2018,4/1/2018,
Urla,,Aegean,Turkey,4/1/2018,4/1/2018,
Vistalba,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Zinio,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Stark,Sierra Foothills,California,US,4/1/2018,4/1/2018,
Whetstone,Russian River Valley,California,US,4/1/2018,4/1/2018,
Loredona,Monterey,California,US,4/1/2018,4/1/2018,
Malibràn,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Martella,Santa Cruz Mountains,California,US,4/1/2018,4/1/2018,
Mourrel Azurat,Fitou,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Pierre André,Bourgogne Hautes Côtes de Beaune,Burgundy,France,4/1/2018,4/1/2018,
Generation 7,Temecula Valley,California,US,4/1/2018,4/1/2018,
Williams Selyem,Yorkville Highlands,California,US,4/1/2018,4/1/2018,
Antica Hirpinia,Fiano di Avellino,Southern Italy,Italy,4/1/2018,4/1/2018,
Jenke,Barossa,South Australia,Australia,4/1/2018,4/1/2018,
Mike Ditka,Mendocino,California,US,4/1/2018,4/1/2018,
Evergreen,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Aramis,McLaren Vale,South Australia,Australia,4/1/2018,4/1/2018,
Devil's Lair,Margaret River,Western Australia,Australia,4/1/2018,4/1/2018,
Shark Trust,California,California,US,4/1/2018,4/1/2018,
Giacomo Vico,Langhe,Piedmont,Italy,4/1/2018,4/1/2018,
Giovanna Madonia,Sangiovese di Romagna Superiore,Central Italy,Italy,4/1/2018,4/1/2018,
Stefano Berti,Sangiovese di Romagna Superiore,Central Italy,Italy,4/1/2018,4/1/2018,
Albino Armani,Valdadige,Veneto,Italy,4/1/2018,4/1/2018,
Althe'a,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Andreola,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Borgoluce,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Perlage,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Shed Horn Cellars,Lake County,California,US,4/1/2018,4/1/2018,
Stuessy Cellars,Suisun Valley,California,US,4/1/2018,4/1/2018,
Tenuta Sant'Antonio,Soave,Veneto,Italy,4/1/2018,4/1/2018,
DuCard,Virginia,Virginia,US,4/1/2018,4/1/2018,
Firebrix,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Twelfth Night,,Central Otago,New Zealand,4/1/2018,4/1/2018,
Castel Grisch,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Il Palagione,Vernaccia di San Gimignano,Tuscany,Italy,4/1/2018,4/1/2018,
Mocali,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Palagetto,Vernaccia di San Gimignano,Tuscany,Italy,4/1/2018,4/1/2018,
Piccolo,Russian River Valley,California,US,4/1/2018,4/1/2018,
Pisa Range,,Central Otago,New Zealand,4/1/2018,4/1/2018,
Viña Valoria,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Corte Rugolin,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Finca Perdriel,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Giribaldi,Vino Spumante,Italy Other,Italy,4/1/2018,4/1/2018,
Luis Pato,,Bairrada,Portugal,4/1/2018,4/1/2018,
Yatir,,Negev Hills,Israel,4/1/2018,4/1/2018,
Caves Fleury,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Château Lalande Balestard,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château le Grand Paroissien,Haut-Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Máté,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Loriñon,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Viña Salceda,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Adegas D'Altamira,Rías Baixas,Galicia,Spain,4/1/2018,4/1/2018,
Binyamina,,Samson,Israel,4/1/2018,4/1/2018,
Companhia das Quintas,,Palmela,Portugal,4/1/2018,4/1/2018,
El Prado,Valencia,Levante,Spain,4/1/2018,4/1/2018,
Upsidedown,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Nomadica,Arroyo Seco,California,US,4/1/2018,4/1/2018,
Château des Moines Menodin,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Château Haut Mouleyre,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Domaine La Tour de Gâtigne,Cévennes,Rhône Valley,France,4/1/2018,4/1/2018,
Gabriel Meffre,Costières de Nîmes,Rhône Valley,France,4/1/2018,4/1/2018,
AVA Grace Vineyards,California,California,US,4/1/2018,4/1/2018,
Château Lacombe Cadiot,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Château l'Eglise Saget,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Peuy Saincrit,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Château Roc de Minvielle,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Cheval Quancard,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Ghost Pines,Sonoma County-San Joaquin County,California,US,4/1/2018,4/1/2018,
Mocén,Rueda,Northern Spain,Spain,4/1/2018,4/1/2018,
La Gerla,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
La Jota Vineyard,Napa Valley,California,US,4/1/2018,4/1/2018,
Tenuta Friggiali,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
De Loach,Sonoma Mountain,California,US,4/1/2018,4/1/2018,
La Serena,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Terlato,Stags Leap District,California,US,4/1/2018,4/1/2018,
Pahlmeyer,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Ravenswood,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Sinor-LaVallee,Arroyo Grande Valley,California,US,4/1/2018,4/1/2018,
Armanino Family Cellars,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Poderi Aldo Conterno,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Silver Trident,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Bodegas Murtia,Jumilla,Levante,Spain,4/1/2018,4/1/2018,
Bougetz,Spring Mountain District,California,US,4/1/2018,4/1/2018,
Caccia al Piano 1868,Bolgheri Superiore,Tuscany,Italy,4/1/2018,4/1/2018,
Cascina La Barbatella,Barbera d'Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Cavallotto,Barbera d'Alba Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Château Cormeil-Figeac,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Cinnabar,Clements Hills,California,US,4/1/2018,4/1/2018,
City Winery Chicago,Mendocino County,California,US,4/1/2018,4/1/2018,
Clos de L'Oratoire des Papes,Châteauneuf-du-Pape,Rhône Valley,France,4/1/2018,4/1/2018,
Darby,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Cignale,Colli della Toscana Centrale,Tuscany,Italy,4/1/2018,4/1/2018,
Philippe-Lorraine,Napa Valley,California,US,4/1/2018,4/1/2018,
Poggio Mandorlo,Maremma,Tuscany,Italy,4/1/2018,4/1/2018,
Tenuta dell'Ornellaia,Bolgheri,Tuscany,Italy,4/1/2018,4/1/2018,
Batzella,Bolgheri Superiore,Tuscany,Italy,4/1/2018,4/1/2018,
Castello di Bolgheri,Bolgheri Superiore,Tuscany,Italy,4/1/2018,4/1/2018,
Poggio al Tesoro,Bolgheri,Tuscany,Italy,4/1/2018,4/1/2018,
Provenance Vineyards,Napa Valley,California,US,4/1/2018,4/1/2018,
Tenuta di Biserno,Bolgheri,Tuscany,Italy,4/1/2018,4/1/2018,
Knights Bridge,Knights Valley,California,US,4/1/2018,4/1/2018,
Giovanni Chiappini,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
J.R. Carter,Diamond Mountain District,California,US,4/1/2018,4/1/2018,
Château Pilet,Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Recougne,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Domaine de la Mordorée,Lirac,Rhône Valley,France,4/1/2018,4/1/2018,
E. Guigal,Côtes du Rhône,Rhône Valley,France,4/1/2018,4/1/2018,
Adami,Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Podere La Cappella,Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Le Torri,Chianti Colli Fiorentini,Tuscany,Italy,4/1/2018,4/1/2018,
Abarbanel,Languedoc,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Alfasi,,Maule Valley,Chile,4/1/2018,4/1/2018,
Hargrave,North Fork of Long Island,New York,US,4/1/2018,4/1/2018,
Gattavecchi,Chianti Colli Senesi,Tuscany,Italy,4/1/2018,4/1/2018,
Carmel,,Judean Hills,Israel,4/1/2018,4/1/2018,
Terre del Principe,Chianti,Tuscany,Italy,4/1/2018,4/1/2018,
Gristina,North Fork of Long Island,New York,US,4/1/2018,4/1/2018,
VinArte,Chianti,Tuscany,Italy,4/1/2018,4/1/2018,
Pindar Vineyards,Long Island,New York,US,4/1/2018,4/1/2018,
Poggio Salvi,Chianti Colli Senesi,Tuscany,Italy,4/1/2018,4/1/2018,
Vasari,Chianti Colli Aretini,Tuscany,Italy,4/1/2018,4/1/2018,
Waterstone,Carneros,California,US,4/1/2018,4/1/2018,
Dobbes Family Estate,McMinnville,Oregon,US,4/1/2018,4/1/2018,
Doran,,Swartland,South Africa,4/1/2018,4/1/2018,
Fable Mountain,,Tulbagh,South Africa,4/1/2018,4/1/2018,
Etude,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Fields Family,Clements Hills,California,US,4/1/2018,4/1/2018,
Ayoub,Dundee Hills,Oregon,US,4/1/2018,4/1/2018,
Gump Markus Prackwieser,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Lost Canyon,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Col di Bacche,Morellino di Scansano,Tuscany,Italy,4/1/2018,4/1/2018,
Dusted Valley,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
Whitehaven,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Rendition,Alexander Valley,California,US,4/1/2018,4/1/2018,
